,Modes,Dimension1,Dimension2,Dimension3,Distribution,Densities,Weights,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,O,H2O,P2O5,ZrO2,Ce2O3,CO2,SO2,LiO2,ThO2
qtz,26.3,0.8,0.4,0.4,h,2.65,60.0843,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plag,27.1,0.4,0.2,0.2,h,2.64,266.2190775,60.556,0,24.947,0,0,0.134,0.01,0.02,6.147,8.092,0.123,0,0,0,0,0,0,0,0,0
kspar,0,2,2,2,h,2.57,278.33154,65.32907954,0,18.47691929,0,0,0,0,0,0,1.684727583,14.50927358,0,0,0,0,0,0,0,0,0
kspar.mega,38.2,2.4,1.2,1,h,2.57,275.9152605,64.42306911,0,19.80454223,0,0,0.078471017,0,0,0.694163689,2.48217236,12.5175816,0,0,0,0,0,0,0,0,0
nph,0,0,0,0,h,2.64,143.665263,41.82242718,0,35.48571098,0,0,0,0,0,0,19.41354675,3.278315093,0,0,0,0,0,0,0,0,0
ol,0,0,0,0,h,3.5,147.0011,40.87336761,0,0,0,0,9.774675155,0,49.35195723,0,0,0,0,0,0,0,0,0,0,0,0
cpx,0,0,0,0,h,3.31,221.2811,54.30585802,0,0,0,0,6.493496281,0,16.39270593,22.80793977,0,0,0,0,0,0,0,0,0,0,0
opx,0,0,0,0,h,3.34,106.6967,56.31317557,0,0,0,0,13.46703319,0,30.21979124,0,0,0,0,0,0,0,0,0,0,0,0
hbl,0,0.75,0.75,0.75,h,3.28,871.405675,42.11223851,0,11.6357741,0,0,20.57956238,0,9.035070717,11.50627925,1.655109723,1.59671905,0,1.879246269,0,0,0,0,0,0,0
bt,5.3,0.1,0.05,0.05,h,3.07,464.57002,38.26774005,1.420358636,15.16381857,0,0,17.1371985,0.378472211,13.68165643,0.024932455,0.089558061,9.831397157,0,0,0,0,0,0,0,0,0
ms,0,0.02,0.02,0.002,h,2.83,396.697247,45.43840457,0,38.55381431,0,0,0,0,0,0,0.781186919,10.68527708,0,4.541317122,0,0,0,0,0,0,0
chl,0,0.3,0.3,0.03,h,2.78,1206.2146,29.8873683,0,16.90599334,0,0,17.8685617,0,23.38976829,0,0,0,0,11.94830837,0,0,0,0,0,0,0
crd,0,0.1,0.05,0.05,h,2.64,616.49286,48.73073469,0,33.07784619,0,0,11.65372783,0,6.537691288,0,0,0,0,0,0,0,0,0,0,0,0
and,0,0.05,0.05,0.05,h,3.15,162.04558,37.0786417,0,62.9213583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grt,0,0.01,0.01,0.01,h,4.06,466.20738,38.66367366,0,21.87037022,0,0,30.82079052,0,8.645165591,0,0,0,0,0,0,0,0,0,0,0,0
ilm,0.06,0.05,0.05,0.05,h,4.79,151.7102,0.079342695,50.51755263,0,0,4.217438557,29.88473567,14.94108729,0.026611442,0.333231713,0,0,0,0,0,0,0,0,0,0,0
mag,1.4,0.1,0.1,0.1,h,5.2,231.5326,0,0,0.044079227,0.065707486,68.86276004,30.96611882,0.06133442,0,0,0,0,0,0,0,0,0,0,0,0,0
chr,0,0,0,0,h,5.12,223.8348,0,0,0,67.90293556,0,32.09706444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rt,0,0.005,0.005,0.005,h,4.25,79.8658,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mzn,0,0.005,0.005,0.005,h,5.26,235.08736,0,0,0,0,0,0,0,0,0,0,0,0,0,30.18973883,0,69.81026117,0,0,0,0
tit,1.09,0.05,0.05,0.05,p,3.53,196.0275,31.86067062,35.16721623,1.961239982,0,2.116931188,0,0.184390827,0.062858997,28.54067871,0.032220916,0,0,0,0.07,0,0,0,0,0,0
zr,0.044,0.02,0.01,0.01,p,4.71,183.3071,32.77794477,0,0,0,0,0,0,0,0,0,0,0,0,0,67.22205523,0,0,0,0,0
ap,0.52,0.05,0.02,0.02,p,3.16,502.31142,0.154937344,0,0,0,0.04751337,0,0.042213229,0.007994737,55.51715302,0,0,0,0,41.33,0,0,0,0,0,0
cal,0,0,0,0,h,2.71,100.0869,0,0,0,0,0,0,0,0,56.02871105,0,0,0,0,0,0,0,43.97128895,0,0,0
po,0,0,0,0,h,4.69,87.911,0,0,0,0,0,52.8620579,0,0,0,0,0,0,0,0,0,0,0,47.1379421,0,0
py,0,0,0,0,h,5.01,119.977,0,0,0,0,0,35.92687049,0,0,0,0,0,0,0,0,0,0,0,64.07312951,0,0
spd,0,2,2,2,h,3.15,186.09,64.6,0,27.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
ptl,0,1,1,1,h,2.42,305.15,78.56,0,16.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0
lpd,0,0.5,0.5,0.5,h,2.84,388.3,61.89,0,13.13,0,0,0,0,0,0,0,12.13,0,0,0,0,0,0,0,7.7,0
poll,0,1.007,1.007,1.007,h,2.9,285.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coltan,0,1.007,1.007,1.007,h,5.3,337.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ep,0.08,0.1,0.1,0.1,h,3.45,478.46,37.43988038,0.033388915,23.22062923,0,13.9694645,0,0.192765982,0.008424884,23.23287685,0,0.019689919,0,0,0,0,0,0,0,0,0
thr,0.0027,0.02,0.01,0.01,p,5.3,300.5969606,24.87231762,0.10690706,1.279534782,0,3.206340387,0,0.023738929,0.053950814,1.782777008,0.0103705,0,0,11.24058603,0.166254046,0,0,0,0,0,57.25722283